id,phase,category,english,LT_proposed,LT_ok_or_fix,accent,accent_FILL,type,form_derived,form_confidence,form_ok_or_fix,comment
A2-0197,P-B,Modal & core verbs,to want,norėti,,norė́ti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0147,P-B,Prepositions,about,apie,,,<-- kirtis.info,PREP (—),,—,,
A2-0151,P-B,Prepositions,because of,dėl,,dė̃l,,PREP (—),,—,,
A2-0149,P-B,Prepositions,before,prieš,,priẽš,,PREP (—),,—,,
A2-0143,P-B,Prepositions,"behind, for",už,,ùž,,PREP (—),,—,,
A2-0148,P-B,Prepositions,between,tarp,,tar̃p,,PREP (—),,—,,
A2-0145,P-B,Prepositions,from (since),nuo,,nuõ,,PREP (—),,—,,
A2-0137,P-B,Prepositions,"from, out of",iš,,i̇̀š,,PREP (—),,—,,
A2-0136,P-B,Prepositions,"in, into",į,,,<-- kirtis.info,PREP (—),,—,,
A2-0142,P-B,Prepositions,"near, by",prie,,priẽ,,PREP (—),,—,,
A2-0140,P-B,Prepositions,on,ant,,añt,,PREP (—),,—,,
A2-0144,P-B,Prepositions,"through, during",per,,pèr,,PREP (—),,—,,
A2-0150,P-B,Prepositions,to (a person),pas,,pàs,,PREP (—),,—,,
A2-0152,P-B,Prepositions,towards,link,,lĩnk,,PREP (—),,—,,
A2-0141,P-B,Prepositions,under,po,,põ,,PREP (—),,—,,
A2-0146,P-B,Prepositions,"until, up to",iki,,ikí,,PREP (—),,—,,
A2-0138,P-B,Prepositions,with,su,,,<-- kirtis.info,PREP (—),,—,,
A2-0139,P-B,Prepositions,without,be,,bé,,PREP (—),,—,,
A2-0135,P-B,Pronouns,all/every,visas,,vìsas,,P (—),,—,,
A2-0132,P-B,Pronouns,everyone,visi,,visì,,P (—),,—,,
A2-0121,P-B,Pronouns,her,jos,,jõs,,P (—),,—,,
A2-0120,P-B,Pronouns,his,jo,,jõ,,P (—),,—,,
A2-0118,P-B,Pronouns,my,mano,,màno,,P (—),,—,,
A2-0131,P-B,Pronouns,nobody,niekas,,niẽkas,,P (—),,—,,
A2-0125,P-B,Pronouns,one's own,savo,,sàvo,,P (—),,—,,
A2-0122,P-B,Pronouns,our,mūsų,,mū́sų,,P (—),,—,,
A2-0130,P-B,Pronouns,someone,kažkas,,kažkàs,,P (—),,—,,
A2-0127,P-B,Pronouns,that,tas,,tàs,,P (—),,—,,
A2-0124,P-B,Pronouns,their,jų,,jų̃,,P (—),,—,,
A2-0128,P-B,Pronouns,these,šie,,šiẽ,,P (—),,—,,
A2-0126,P-B,Pronouns,this,šis,,šìs,,P (—),,—,,
A2-0129,P-B,Pronouns,those,tie,,tiẽ,,P (—),,—,,
A2-0123,P-B,Pronouns,your (pl),jūsų,,jū́sų,,P (—),,—,,
A2-0119,P-B,Pronouns,your (sg),tavo,,tàvo,,P (—),,—,,
A2-0112,P-B,Question words,how,kaip,,kaĩp,,Q (—),,—,,
A2-0114,P-B,Question words,how much/many,kiek,,ki̇́ek,,Q (—),,—,,
A2-0115,P-B,Question words,what kind of,koks,,kóks,,Q (—),,—,,
A2-0111,P-B,Question words,when,kada,,kadà,,Q (—),,—,,
A2-0110,P-B,Question words,where,kur,,kur̃,,Q (—),,—,,
A2-0116,P-B,Question words,which,kuris,,kurìs,,Q (—),,—,,
A2-0108,P-B,Question words,who,kas,,kàs,,Q (—),,—,,
A2-0117,P-B,Question words,whose,kieno,,,<-- kirtis.info,Q (—),,—,,
A2-0113,P-B,Question words,why,kodėl,,kodė̃l,,Q (—),,—,,
A2-0824,P-F,Abstract,beginning,pradžia,,pradžià,,N (gen.sg),pradžios,rule,,
A2-0831,P-F,Abstract,birthday,gimtadienis,,gimtãdienis,,N (gen.sg),gimtadienio,"rule — i-stem would take -ies, CHECK",,
A2-0855,P-F,Abstract,danger,pavojus,,pavõjus,,N (gen.sg),pavojaus,rule,,
A2-0825,P-F,Abstract,end,pabaiga,,pabaigà,,N (gen.sg),pabaigos,rule,,
A2-0857,P-F,Abstract,help (noun),pagalba,,pagálba,,N (gen.sg),pagalbos,rule,,
A2-0834,P-F,Abstract,idea,idėja,,idė́ja,,N (gen.sg),idėjos,rule,,
A2-0859,P-F,Abstract,information,informacija,,informãcija,,N (gen.sg),informacijos,rule,,
A2-0861,P-F,Abstract,list,sąrašas,,są́rašas,,N (gen.sg),sąrašo,rule,,
A2-0854,P-F,Abstract,luck,sėkmė,,sėkmė̃,,N (gen.sg),sėkmės,rule,,
A2-0862,P-F,Abstract,number (figure),skaičius,,skaĩčius,,N (gen.sg),skaičiaus,rule,,
A2-0844,P-F,Abstract,part,dalis,,dalìs,,N (gen.sg),dalio,"rule — i-stem would take -ies, CHECK",,
A2-0833,P-F,Abstract,plan,planas,,plãnas,,N (gen.sg),plano,rule,,
A2-0525,P-F,Adjectives,boring,nuobodus,,nuobodùs,,A (feminine),nuobodi,rule,,
A2-0530,P-F,Adjectives,busy,užimtas,,,<-- kirtis.info,A (feminine),užimta,rule,,
A2-0533,P-F,Adjectives,closed,uždarytas,,,<-- kirtis.info,A (feminine),uždaryta,rule,,
A2-0559,P-F,Adjectives,comfortable,patogus,,patogùs,,A (feminine),patogi,rule,,
A2-0539,P-F,Adjectives,correct,teisingas,,teisìngas,,A (feminine),teisinga,rule,,
A2-0527,P-F,Adjectives,dangerous,pavojingas,,pavojìngas,,A (feminine),pavojinga,rule,,
A2-0564,P-F,Adjectives,delicious,skanus,,skanùs,,A (feminine),skani,rule,,
A2-0537,P-F,Adjectives,different,kitoks,,kitóks,,A (feminine),,needs your form,,
A2-0535,P-F,Adjectives,empty,tuščias,,tùščias,,A (feminine),tuščia,rule,,
A2-0529,P-F,Adjectives,free (no cost),nemokamas,,nemókamas,,A (feminine),nemokama,rule,,
A2-0566,P-F,Adjectives,fresh,šviežias,,šviẽžias,,A (feminine),šviežia,rule,,
A2-0534,P-F,Adjectives,full,pilnas,,pìlnas,,A (feminine),pilna,rule,,
A2-0518,P-F,Adjectives,important,svarbus,,svarbùs,,A (feminine),svarbi,rule,,
A2-0524,P-F,Adjectives,interesting,įdomus,,įdomùs,,A (feminine),įdomi,rule,,
A2-0531,P-F,Adjectives,ready,pasiruošęs,,,<-- kirtis.info,A (feminine),,needs your form,,
A2-0528,P-F,Adjectives,safe,saugus,,saugùs,,A (feminine),saugi,rule,,
A2-0570,P-F,Adjectives,salty,sūrus,,,<-- kirtis.info,A (feminine),sūri,rule,,
A2-0536,P-F,Adjectives,same,toks pat,,,,A (feminine),,needs your form,,
A2-0569,P-F,Adjectives,sour,rūgštus,,rūgštùs,,A (feminine),rūgšti,rule,,
A2-0568,P-F,Adjectives,sweet,saldus,,saldùs,,A (feminine),saldi,rule,,
A2-0540,P-F,Adjectives,wrong,neteisingas,,,<-- kirtis.info,A (feminine),neteisinga,rule,,
A2-0602,P-F,Body,stomach,pilvas,,pil̃vas,,N (gen.sg),pilvo,rule,,
A2-0712,P-F,Clothing,belt,diržas,,dir̃žas,,N (gen.sg),diržo,rule,,
A2-0714,P-F,Clothing,boot,aulinis batas,,,,N (gen.sg),aulinis bato,rule,,
A2-0719,P-F,Clothing,glasses,akiniai,,akiniaĩ,,N (gen.sg),akinių,plural-only: gen pl — CHECK,,
A2-0710,P-F,Clothing,glove,pirštinė,,pir̃štinė,,N (gen.sg),pirštinės,rule,,
A2-0708,P-F,Clothing,jacket,striukė,,,<-- kirtis.info,N (gen.sg),striukės,rule,,
A2-0707,P-F,Clothing,jumper,megztinis,,,<-- kirtis.info,N (gen.sg),megztinio,"rule — i-stem would take -ies, CHECK",,
A2-0709,P-F,Clothing,scarf,šalikas,,šãlikas,,N (gen.sg),šaliko,rule,,
A2-0713,P-F,Clothing,sock,kojinė,,kójinė,,N (gen.sg),kojinės,rule,,
A2-0718,P-F,Clothing,umbrella,skėtis,,skė̃tis,,N (gen.sg),skėčio,rule (t→č),,
A2-0694,P-F,Food,berry,uoga,,úoga,,N (gen.sg),uogos,rule,,
A2-0679,P-F,Food,butter,sviestas,,svíestas,,N (gen.sg),sviesto,rule,,
A2-0698,P-F,Food,cabbage,kopūstas,,,<-- kirtis.info,N (gen.sg),kopūsto,rule,,
A2-0704,P-F,Food,cherry,vyšnia,,vyšnià,,N (gen.sg),vyšnios,rule,,
A2-0700,P-F,Food,cucumber,agurkas,,agur̃kas,,N (gen.sg),agurko,rule,,
A2-0674,P-F,Food,dumpling,koldūnas,,koldū̃nas,,N (gen.sg),koldūno,rule,,
A2-0706,P-F,Food,grape,vynuogė,,vỹnuogė,,N (gen.sg),vynuogės,rule,,
A2-0684,P-F,Food,honey,medus,,medùs,,N (gen.sg),medaus,rule,,
A2-0668,P-F,Food,meal,patiekalas,,pãtiekalas,,N (gen.sg),patiekalo,rule,,
A2-0693,P-F,Food,mushroom,grybas,,grỹbas,,N (gen.sg),grybo,rule,,
A2-0697,P-F,Food,onion,svogūnas,,svogū̃nas,,N (gen.sg),svogūno,rule,,
A2-0673,P-F,Food,pancake,blynas,,,<-- kirtis.info,N (gen.sg),blyno,rule,,
A2-0702,P-F,Food,pear,kriaušė,,kriáušė,,N (gen.sg),kriaušės,rule,,
A2-0670,P-F,Food,salad,salotos,,,<-- kirtis.info,N (gen.sg),salotų,plural-only: gen pl — CHECK,,
A2-0671,P-F,Food,sandwich,sumuštinis,,sumuštìnis,,N (gen.sg),sumuštinio,"rule — i-stem would take -ies, CHECK",,
A2-0675,P-F,Food,sausage,dešra,,dešrà,,N (gen.sg),dešros,rule,,
A2-0705,P-F,Food,strawberry,braškė,,brãškė,,N (gen.sg),braškės,rule,,
A2-0701,P-F,Food,tomato,pomidoras,,pomidòras,,N (gen.sg),pomidoro,rule,,
A2-0686,P-F,Food,yoghurt,jogurtas,,jogùrtas,,N (gen.sg),jogurto,rule,,
A2-0641,P-F,Home,bin,šiukšliadėžė,,,<-- kirtis.info,N (gen.sg),šiukšliadėžės,rule,,
A2-0629,P-F,Home,blanket,antklodė,,añtklodė,,N (gen.sg),antklodės,rule,,
A2-0625,P-F,Home,cupboard,spinta,,spi̇̀nta,,N (gen.sg),spintos,rule,,
A2-0626,P-F,Home,mirror,veidrodis,,véidrodis,,N (gen.sg),veidrodžio,rule (d→dž),,
A2-0630,P-F,Home,pillow,pagalvė,,,<-- kirtis.info,N (gen.sg),pagalvės,rule,,
A2-0635,P-F,Home,scissors,žirklės,,žìrklės,,N (gen.sg),žirklių,plural-only: gen pl — CHECK,,
A2-0623,P-F,Home,shelf,lentyna,,,<-- kirtis.info,N (gen.sg),lentynos,rule,,
A2-0613,P-F,Home,stairs,laiptai,,láiptai,,N (gen.sg),laiptų,plural-only: gen pl — CHECK,,
A2-0633,P-F,Home,toothbrush,dantų šepetėlis,,,,N (gen.sg),dantų šepetėlio,"rule — i-stem would take -ies, CHECK",,
A2-0631,P-F,Home,towel,rankšluostis,,rañkšluostis,,N (gen.sg),rankšluosčio,rule (t→č),,
A2-0659,P-F,Location,bus stop,stotelė,,stotẽlė,,N (gen.sg),stotelės,rule,,
A2-0653,P-F,Location,cinema,kinas,,kìnas,,N (gen.sg),kino,rule,,
A2-0660,P-F,Location,crossing,perėja,,,<-- kirtis.info,N (gen.sg),perėjos,rule,,
A2-0656,P-F,Location,gym,sporto salė,,,,N (gen.sg),sporto salės,rule,,
A2-0652,P-F,Location,museum,muziejus,,muziẽjus,,N (gen.sg),muziejaus,rule,,
A2-0664,P-F,Location,petrol station,degalinė,,,<-- kirtis.info,N (gen.sg),degalinės,rule,,
A2-0649,P-F,Location,post office,paštas,,pãštas,,N (gen.sg),pašto,rule,,
A2-0654,P-F,Location,stadium,stadionas,,stadiònas,,N (gen.sg),stadiono,rule,,
A2-0645,P-F,Location,town square,aikštė,,aikštė̃,,N (gen.sg),aikštės,rule,,
A2-0662,P-F,Location,traffic light,šviesoforas,,šviesofòras,,N (gen.sg),šviesoforo,rule,,
A2-0644,P-F,Location,village,kaimas,,káimas,,N (gen.sg),kaimo,rule,,
A2-0865,P-F,Money & admin,cent,centas,,ceñtas,,N (gen.sg),cento,rule,,
A2-0866,P-F,Money & admin,coin,moneta,,monetà,,N (gen.sg),monetos,rule,,
A2-0874,P-F,Money & admin,document,dokumentas,,dokumèntas,,N (gen.sg),dokumento,rule,,
A2-0864,P-F,Money & admin,euro,euras,,eũras,,N (gen.sg),euro,rule,,
A2-0763,P-F,Nature,bear,lokys,,lokỹs,,N (gen.sg),lokio,rule,,
A2-0770,P-F,Nature,bee,bitė,,bìtė,,N (gen.sg),bitės,rule,,
A2-0746,P-F,Nature,branch,šaka,,šakà,,N (gen.sg),šakos,rule,,
A2-0750,P-F,Nature,bush,krūmas,,krū́mas,,N (gen.sg),krūmo,rule,,
A2-0771,P-F,Nature,butterfly,drugelis,,drugẽlis,,N (gen.sg),drugelio,"rule — i-stem would take -ies, CHECK",,
A2-0758,P-F,Nature,duck,antis,,ántis,,N (gen.sg),ančio,rule (t→č),,
A2-0737,P-F,Nature,field,laukas,,laũkas,,N (gen.sg),lauko,rule,,
A2-0761,P-F,Nature,fox,lapė,,lãpė,,N (gen.sg),lapės,rule,,
A2-0767,P-F,Nature,frog,varlė,,varlė̃,,N (gen.sg),varlės,rule,,
A2-0756,P-F,Nature,goat,ožka,,ožkà,,N (gen.sg),ožkos,rule,,
A2-0769,P-F,Nature,insect,vabzdys,,vabzdỹs,,N (gen.sg),vabzdio,rule,,
A2-0745,P-F,Nature,path,takas,,tãkas,,N (gen.sg),tako,rule,,
A2-0760,P-F,Nature,rabbit,triušis,,triùšis,,N (gen.sg),triušio,"rule — i-stem would take -ies, CHECK",,
A2-0755,P-F,Nature,sheep,avis,,avìs,,N (gen.sg),avio,"rule — i-stem would take -ies, CHECK",,
A2-0768,P-F,Nature,snake,gyvatė,,gyvãtė,,N (gen.sg),gyvatės,rule,,
A2-0772,P-F,Nature,spider,voras,,vóras,,N (gen.sg),voro,rule,,
A2-0765,P-F,Nature,squirrel,voverė,,voverė̃,,N (gen.sg),voverės,rule,,
A2-0762,P-F,Nature,wolf,vilkas,,vil̃kas,,N (gen.sg),vilko,rule,,
A2-0581,P-F,People,aunt,teta,,tetà,,N (gen.sg),tetos,rule,,
A2-0589,P-F,People,guest,svečias,,svẽčias,,N (gen.sg),svečio,rule,,
A2-0582,P-F,People,uncle,dėdė,,dė̃dė,,N (gen.sg),dėdės,rule,,
A2-0729,P-F,Transportation,driver,vairuotojas,,vairúotojas,,N (gen.sg),vairuotojo,rule,,
A2-0725,P-F,Transportation,motorbike,motociklas,,motocìklas,,N (gen.sg),motociklo,rule,,
A2-0730,P-F,Transportation,passenger,keleivis,,keleĩvis,,N (gen.sg),keleivio,"rule — i-stem would take -ies, CHECK",,
A2-0728,P-F,Transportation,seat,sėdynė,,,<-- kirtis.info,N (gen.sg),sėdynės,rule,,
A2-0724,P-F,Transportation,taxi,taksi,,taksì,,N (gen.sg),,unknown ending — needs your form,,
A2-0722,P-F,Transportation,tram,tramvajus,,tramvãjus,,N (gen.sg),tramvajaus,rule,,
A2-0723,P-F,Transportation,trolleybus,troleibusas,,troleibùsas,,N (gen.sg),troleibuso,rule,,
A2-0727,P-F,Transportation,wheel,ratas,,rãtas,,N (gen.sg),rato,rule,,
A2-0436,P-F,Verbs,to apologise,atsiprašyti,,atsiprašýti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0484,P-F,Verbs,to bake,kepti,,kèpti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0454,P-F,Verbs,to be afraid,bijoti,,bijóti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0504,P-F,Verbs,to be born,gimti,,gìmti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0483,P-F,Verbs,to boil,virti,,vìrti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0417,P-F,Verbs,to bring,atnešti,,atnèšti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0501,P-F,Verbs,to celebrate,švęsti,,,<-- kirtis.info,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0451,P-F,Verbs,to choose,pasirinkti,,,<-- kirtis.info,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0403,P-F,Verbs,to enter,įeiti,,įeĩti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0404,P-F,Verbs,to exit,išeiti,,išeĩti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0437,P-F,Verbs,to greet,sveikinti,,svéikinti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0494,P-F,Verbs,to help,padėti,,padė́ti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0412,P-F,Verbs,to hurry,skubėti,,skubė́ti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0434,P-F,Verbs,to invite,kviesti,,kviẽsti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0446,P-F,Verbs,to know (a fact),žinoti,,žinóti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0499,P-F,Verbs,to live (reside),gyventi,,gyvénti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0477,P-F,Verbs,to lock,užrakinti,,,<-- kirtis.info,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0414,P-F,Verbs,to meet,susitikti,,susitìkti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0486,P-F,Verbs,to pour,pilti,,pìlti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0419,P-F,Verbs,to put (place),dėti,,dė́ti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0405,P-F,Verbs,to return,grįžti,,grį̃žti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0442,P-F,Verbs,to shout,šaukti,,šaũkti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0426,P-F,Verbs,to speak,kalbėti,,kalbė́ti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0435,P-F,Verbs,to thank,dėkoti,,dėkóti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0447,P-F,Verbs,to understand,suprasti,,supràsti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0478,P-F,Verbs,to unlock,atrakinti,,,<-- kirtis.info,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0464,P-F,Verbs,to use,naudoti,,naudóti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0500,P-F,Verbs,to visit,lankyti,,lankýti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0413,P-F,Verbs,to wait,laukti,,láukti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0445,P-F,Verbs,to write down,užrašyti,,užrašýti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0804,P-F,Work & culture,answer,atsakymas,,atsãkymas,,N (gen.sg),atsakymo,rule,,
A2-0796,P-F,Work & culture,blackboard,lenta,,lentà,,N (gen.sg),lentos,rule,,
A2-0789,P-F,Work & culture,builder,statybininkas,,statýbininkas,,N (gen.sg),statybininko,rule,,
A2-0795,P-F,Work & culture,classroom,klasė,,klãsė,,N (gen.sg),klasės,rule,,
A2-0812,P-F,Work & culture,concert,koncertas,,koncèrtas,,N (gen.sg),koncerto,rule,,
A2-0779,P-F,Work & culture,customer,klientas,,klieñtas,,N (gen.sg),kliento,rule,,
A2-0801,P-F,Work & culture,dictionary,žodynas,,žodýnas,,N (gen.sg),žodyno,rule,,
A2-0788,P-F,Work & culture,farmer,ūkininkas,,ū́kininkas,,N (gen.sg),ūkininko,rule,,
A2-0821,P-F,Work & culture,festival,šventė,,,<-- kirtis.info,N (gen.sg),šventės,rule,,
A2-0816,P-F,Work & culture,hobby,pomėgis,,,<-- kirtis.info,N (gen.sg),pomėgio,"rule — i-stem would take -ies, CHECK",,
A2-0820,P-F,Work & culture,holiday (vacation),atostogos,,atóstogos,,N (gen.sg),atostogų,plural-only: gen pl — CHECK,,
A2-0805,P-F,Work & culture,mistake,klaida,,klaidà,,N (gen.sg),klaidos,rule,,
A2-0791,P-F,Work & culture,musician,muzikantas,,,<-- kirtis.info,N (gen.sg),muzikanto,rule,,
A2-0797,P-F,Work & culture,notebook,sąsiuvinis,,,<-- kirtis.info,N (gen.sg),sąsiuvinio,"rule — i-stem would take -ies, CHECK",,
A2-0815,P-F,Work & culture,painting,paveikslas,,pavéikslas,,N (gen.sg),paveikslo,rule,,
A2-0823,P-F,Work & culture,party,vakarėlis,,vakarė̃lis,,N (gen.sg),vakarėlio,"rule — i-stem would take -ies, CHECK",,
A2-0803,P-F,Work & culture,question,klausimas,,kláusimas,,N (gen.sg),klausimo,rule,,
A2-0800,P-F,Work & culture,ruler,liniuotė,,,<-- kirtis.info,N (gen.sg),liniuotės,rule,,
A2-0807,P-F,Work & culture,sentence,sakinys,,sakinỹs,,N (gen.sg),sakinio,rule,,
A2-0808,P-F,Work & culture,story,istorija,,istòrija,,N (gen.sg),istorijos,rule,,
A2-0806,P-F,Work & culture,word,žodis,,žõdis,,N (gen.sg),žodžio,rule (d→dž),,
A2-0792,P-F,Work & culture,writer,rašytojas,,rašýtojas,,N (gen.sg),rašytojo,rule,,
A2-0928,P-G,Core patterns,How much does the ticket cost?,Kiek kainuoja bilietas?,,,,SENTENCE (—),,—,,
A2-0911,P-G,Core patterns,I am from Lithuania,Aš esu iš Lietuvos,,,,SENTENCE (—),,—,,
A2-0927,P-G,Core patterns,I am going home,Einu namo,,,,SENTENCE (—),,—,,
A2-0913,P-G,Core patterns,I am twenty years old,Man dvidešimt metų,,,,SENTENCE (—),,—,,
A2-0918,P-G,Core patterns,I can speak a little,Galiu truputį kalbėti,,,,SENTENCE (—),,—,,
A2-0915,P-G,Core patterns,I don't have time,Neturiu laiko,,,,SENTENCE (—),,—,,
