#,category,english,type,flags,depictable,subject_phrase_EN,lithuanian_TARGET,lt_pron,gender,card_text,notes,level
52,Location,building,N,,yes,"three different buildings side by side — a dwelling house, an office block, and a public hall",pastatas,pástatas,M,,,A1
53,Location,ground,N,,yes,"a mound of dark earth soil with a spade thrust into it, a pair of cupped hands holding a handful of soil beside it",žemė,žémė,F,,,A1
54,Location,space,N,,yes,"outer space with stars, the Moon and a satellite",kosmosas (kosminė erdvė),kósmosas (kósminė erdvė́),M,,outer space; erdvė=expanse (F),A1
55,Location,bank,N,,yes,a bank building with a columned entrance,bankas,bánkas,M,,,A1
56,Location,location,N,categoryC,category-multi,a hand with a pointing finger marking one circled spot on a local wall map,vieta,vietá,F,,,A1
57,Clothing,hat,N,,yes,a warm cloth cap,kepurė,kepúrė,F,,,A1
58,Clothing,dress,N,,yes,a simple 1970s woman's dress,suknelė,suknélė,F,,,A1
59,Clothing,suit,N,,yes,a man's two-piece suit,kostiumas,kostiúmas,M,,,A1
60,Clothing,skirt,N,,yes,a plain skirt,sijonas,sijónas,M,,,A1
61,Clothing,shirt,N,,yes,a button-up shirt,marškiniai,marškiniái,M pl,,,A1
62,Clothing,T-shirt,N,,yes,a plain short-sleeved T-shirt,marškinėliai (maikė),marškinė́liai (máikė),M pl,,stress: CHECK,A1
63,Clothing,pants,N,,yes,a pair of trousers,kelnės,kélnės,F pl,,,A1
64,Clothing,shoes,N,,yes,a pair of leather shoes,batai,bátai,M pl,,,A1
65,Clothing,pocket,N,,yes,"a coat pocket in close view, a hand slipping a notebook in",kišenė,kišénė,F,,,A1
66,Clothing,coat,N,,yes,a long wool overcoat,paltas,páltas,M,,,A1
67,Clothing,stain,N,,yes,a dark stain on a shirt front,dėmė,dėmė́,F,,,A1
68,Clothing,clothing,N,categoryC,category-multi,"an outfitting chart — a coat, trousers, boots and a cap laid out flat in a grid",drabužiai,drabúžiai,M pl,,,A1
69,Color,red,N,,yes,"a group of plain red objects — an apple, a fire bucket, a ribbon",raudonas/raudona,raudónas/raudóna,M/F,,carries m/f pair; supersedes row 518 (decision Q1),A1
70,Color,green,N,,yes,"a group of plain green objects — a leaf, a cucumber, a glass bottle",žalias/žalia,žálias/žaliá,M/F,,carries m/f pair; supersedes row 519 (decision Q1),A1
71,Color,blue,N,,yes,"a group of plain blue objects — an enamel mug, work coveralls, a cornflower",mėlynas/mėlyna,mė́lynas/mė́lyna,M/F,,carries m/f pair; supersedes row 520 (decision Q1),A1
72,Color,yellow,N,,yes,"a group of plain yellow objects — a lemon, amber beads, ripe wheat",geltonas/geltona,geltónas/geltóna,M/F,,carries m/f pair; supersedes row 521 (decision Q1),A1
73,Color,brown,N,,yes,"a group of plain brown objects — a loaf of bread, a leather boot, a chestnut",rudas/ruda,rúdas/rudá,M/F,,carries m/f pair; supersedes row 522 (decision Q1),A1
74,Color,pink,N,,yes,"a group of plain pink objects — a piglet, a rose, a scarf",rožinis/rožinė,róžinis/róžinė,M/F,,carries m/f pair; supersedes row 523 (decision Q1),A1
75,Color,orange (color),N,,yes,"a group of plain orange objects — an orange, a carrot, a fox",oranžinis/oranžinė,oránžinis/oránžinė,M/F,,carries m/f pair; supersedes row 524 (decision Q1),A1
76,Color,black,N,,yes,"a group of plain black objects — a lump of coal, rubber work boots, a black cat",juodas/juoda,juódas/juodá,M/F,,carries m/f pair; supersedes row 525 (decision Q1),A1
77,Color,white,N,,yes,"a group of plain white objects — a goose, a stick of chalk, an enamel basin",baltas/balta,báltas/baltá,M/F,,carries m/f pair; supersedes row 526 (decision Q1),A1
78,Color,gray,N,,yes,"a group of plain gray objects — a mouse, a woolen sock, an overcast cloud",pilkas/pilka,pílkas/pilká,M/F,,carries m/f pair; supersedes row 527 (decision Q1),A1
79,Color,color,N,categoryC,category-multi,a painter's swatch chart of muted color squares with a paintbrush,spalva,spalvá,,,,A1
80,People,son,N,disambig,yes,"a father standing with his young son, an arrow indicating the boy",sūnus,sūnús,M,,,A1
81,People,daughter,N,disambig,yes,"a mother standing with her young daughter, an arrow indicating the girl",dukra,dukrá,F,,,A1
82,People,mother,N,,yes,a mother holding a small child,motina,mótina,F,,,A1
83,People,father,N,,yes,a father holding a child's hand,tėvas,tė́vas,M,,,A1
84,People,parent,N,,yes,"a mother and father standing side by side, arrows indicating both adults, their small child standing apart beside them",tėvai,tėvái,M pl,,no single word; tėvai=parents(pl) — treat as category (tėvas/motina),A1
85,People,baby,N,,yes,a swaddled baby,kūdikis,kū́dikis,M,,,A1
86,People,man,N,,yes,"an adult man standing, front view",vyras,výras,M,,,A1
87,People,woman,N,,yes,"an adult woman standing, front view",moteris,móteris,F,,,A1
88,People,brother,N,disambig,yes,"two brothers close in age and alike in features, side by side, an arrow indicating one",brolis,brólis,M,,,A1
89,People,sister,N,disambig,yes,"two sisters — an older and a younger girl — side by side, an arrow indicating one",sesuo,sesúo,F,,,A1
90,People,family,N,,yes,a family of four — parents and two children,šeima,šeimá,F,,,A1
91,People,grandfather,N,,yes,"an elderly grandfather with a walking stick, a child beside him",senelis,senélis,M,,,A1
92,People,grandmother,N,,yes,"an elderly grandmother in a headscarf, a child beside her",senelė,senélė,F,,,A1
93,People,husband,N,disambig,yes,"a married couple standing together, an arrow indicating the husband, wedding rings visible",vyras,výras,M,,vyras=husband/man; sutuoktinis=spouse,A1
94,People,wife,N,disambig,yes,"a married couple standing together, an arrow indicating the wife, wedding rings visible",žmona,žmoná,,,,A1
95,People,king,N,,yes,a king with a crown and mantle,karalius,karálius,M,,,A1
96,People,queen,N,,yes,a queen with a crown,karalienė,karaliénė,F,,,A1
97,People,president,N,,yes,"a male president and a female president at matching plain podiums, side by side, the Lithuanian tricolor draped on the wall behind them",prezidentas/prezidentė,prezidéntas/prezidéntė,M/F,,dual-gender; pl prezidentai; dual-form card: two figures m+f (decision Q7),A1
98,People,neighbor,N,,yes,"two neighbours — a man and a woman — greeting each other from opposite sides of a low garden fence, one on each side",kaimynas/kaimynė,kaimýnas/kaimýnė,M/F,,dual-gender; pl kaimynai; dual-form card: two figures m+f (decision Q7),A1
99,People,boy,N,,yes,a young boy,berniukas,berniúkas,M,,,A1
100,People,girl,N,,yes,a young girl,mergaitė,mergaítė,F,,,A1
101,People,child,N,,yes,"an age row — a baby, a child, a teenager, and a grown adult — one bold arrow indicating the child",vaikas,vaíkas,M,,,A1
102,People,adult,N,,yes,"a man and a woman standing beside a child, an arrow indicating the two adults",suaugęs/suaugusi,suaúgęs/suaúgusi,M/F,,suaugęs (adj) / suaugusysis (noun) | dual-gender; pl suaugusieji; dual-form card: two figures m+f (decision Q7),A1
103,People,human,N,,yes,"a standing human figure, front view",žmogus,žmogús,M,,,A1
104,People,friend,N,,yes,"two friends — two men — with arms around each other's shoulders, laughing together",draugas/draugė,draúgas/draúgė,M/F,,dual-gender; pl draugai; dual-form card: two figures m+f (decision Q7),A1
105,People,victim,N,,yes,an injured person on a stretcher being helped by two aides,auka,auká,F,,,A1
106,People,player,N,,yes,two players — a man and a woman — in plain sports jerseys and shorts with a ball on a sports field,žaidėjas/žaidėja,žaidė́jas/žaidė́ja,M/F,,dual-gender; pl žaidėjai; dual-form card: two figures m+f (decision Q7),A1
107,People,fan (sports),N,,yes,two cheering spectators — a man and a woman — with scarves in a stadium stand,sirgalius/sirgalė,sirgálius/sirgálė,M/F,,dual-gender; pl sirgaliai | sports fan; electric fan=ventiliatorius; stress: CHECK; dual-form card: two figures m+f (decision Q7),A1
108,People,crowd,N,,yes,a dense crowd of ordinary people,minia,miniá,F,,,A1
109,People,person,N,categoryC,category-multi,"three ordinary people of different ages standing in a row — a man, a woman, and an elderly person",asmuo,asmúo,M,,,A1
110,Job,teacher,N,,yes,"two teachers — a man and a woman — at a blackboard with pointers, the board bearing only simple diagrams",mokytojas/mokytoja,mókytojas/mókytoja,M/F,"the letters ""ABC"" written once on the blackboard with the numbers ""123"" written once beneath them.",dual-gender; pl mokytojai; dual-form card: two figures m+f (decision Q7),A1
111,Job,student,N,,yes,"two university students — a man and a woman — young adults with books in a lecture hall, a lecturer at the lectern behind them",studentas/studentė,studéntas/studéntė,M/F,,dual-gender; pl studentai; dual-form card: two figures m+f (decision Q7),A1
112,Job,lawyer,N,,yes,two lawyers — a man and a woman — in suits with documents at a desk,advokatas/advokatė,advokátas/advokátė,M/F,,dual-gender; pl advokatai; dual-form card: two figures m+f (decision Q7),A1
113,Job,doctor,N,,yes,two doctors — a man and a woman — in white coats with stethoscopes,gydytojas/gydytoja,gýdytojas/gýdytoja,M/F,,dual-gender; pl gydytojai; dual-form card: two figures m+f (decision Q7),A1
114,Job,patient,N,,yes,two patients — a man and a woman — in neighbouring hospital beds,pacientas/pacientė,paciéntas/paciéntė,M/F,,dual-gender; pl pacientai; dual-form card: two figures m+f (decision Q7),A1
115,Job,waiter,N,,yes,two waiters — a man and a woman — each carrying a tray,padavėjas/padavėja,padavė́jas/padavė́ja,M/F,,dual-gender; pl padavėjai; dual-form card: two figures m+f (decision Q7),A1
116,Job,secretary,N,,yes,two secretaries — a man and a woman — at typewriters,sekretorius/sekretorė,sekretórius/sekretórė,M/F,,dual-gender; pl sekretoriai; dual-form card: two figures m+f (decision Q7),A1
117,Job,priest,N,,yes,a priest in a cassock before a church,kunigas,kúnigas,M,,,A1
118,Job,police officer,N,,yes,two uniformed police officers — a man and a woman — directing traffic,policininkas/policininkė,policíninkas/policíninkė,M/F,,dual-gender; pl policininkai; dual-form card: two figures m+f (decision Q7),A1
119,Job,police force,N,,yes,a group of uniformed police officers beside a patrol car,policija,polícija,F,,the institution,A1
120,Job,army,N,,yes,a column of soldiers marching,kariuomenė,kariuómenė,F,,stress: CHECK,A1
121,Job,soldier,N,,yes,a single soldier in uniform,kareivis,kareívis,M,,,A1
122,Job,artist,N,,yes,two artists — a man and a woman — painting at easels,menininkas/menininkė,meníninkas/meníninkė,M/F,,dual-gender; pl menininkai; dual-form card: two figures m+f (decision Q7),A1
123,Job,author,N,,yes,two authors — a man and a woman — writing at a shared desk,autorius/autorė,aútorius/aútorė,M/F,,dual-gender; pl autoriai; stress: CHECK; dual-form card: two figures m+f (decision Q7),A1
124,Job,manager,N,,yes,"two managers — a man and a woman — standing before seated staff, one pointing at a wall chart, directing the work",vadovas/vadovė,vadóvas/vadóvė,M/F,,dual-gender; pl vadovai; dual-form card: two figures m+f (decision Q7),A1
125,Job,reporter,N,,yes,two reporters — a man and a woman — with notebooks and a microphone,žurnalistas/žurnalistė,žurnalístas/žurnalístė,M/F,,dual-gender; pl žurnalistai; dual-form card: two figures m+f (decision Q7),A1
126,Job,actor,N,,yes,two actors — a man and a woman — performing on a stage,aktorius/aktorė,aktórius/aktórė,M/F,,dual-gender; pl aktoriai; dual-form card: two figures m+f (decision Q7),A1
127,Job,job,N,categoryC,category-multi,"a chart of three trades at work — a doctor, a builder, and a teacher — in small panels",darbas,dárbas,M,,,A1
128,Society,religion,N,,yes,"a calm specimen chart of faith: a church, a lit candle, a holy book, and folded praying hands",religija,,,,LT owner-confirmed 1.7.8,A2
129,Society,heaven,N,,yes,a GO-style vision of heaven: tall pearly gates opening onto golden clouds with a throne and shafts of light. Do NOT include any arrow or marking.,dangus,,,,LT owner-confirmed 1.7.8,A2
130,Society,hell,N,,yes,"a GO-style vision of hell: red flames and a red horned devil with a forked tail and pitchfork, its stern moustached face faintly recalling Stalin, presiding over the fire. Do NOT include any arrow or marking.",pragaras,,,,LT owner-confirmed 1.7.8,A2
131,Society,death,N,,yes,a plain gravestone with wilting flowers in a quiet cemetery,mirtis,,,,LT owner-confirmed 1.7.8,A2
132,Society,medicine,N,,yes,"a medicine bottle, a spoon of syrup and a blister pack of tablets on a bedside table",vaistai,,,,LT owner-confirmed 1.7.8,A2
133,Society,money,N,,yes,a fan of interwar Lithuanian LITAI banknotes and some litas coins spread on a table,pinigai,,,,LT owner-confirmed 1.7.8,A2
134,Society,dollar,N,,yes,"a single US one-dollar banknote and a coin on a table, a bold arrow on the dollar note",doleris,,,,LT owner-confirmed 1.7.8,A2
135,Society,bill,N,,yes,a single interwar Lithuanian litas banknote held up between two fingers,banknotas,,,,LT owner-confirmed 1.7.8,A2
136,Society,marriage,N,disambig,yes,a bride and groom exchanging rings before a registry official,santuoka,,,,LT owner-confirmed 1.7.8,A2
137,Society,wedding,N,disambig,yes,a wedding scene — a couple exchanging rings before a small group of guests outside a registry office,vestuvės,vestúvės,F,,promoted to picture deck (decision Q6); plural-only noun,A1
138,Society,team,N,,yes,a sports team of players in matching kit lined up together in a row,komanda,,,,LT owner-confirmed 1.7.8,A2
139,Society,relationship,N,,yes,"two people facing each other holding both hands, a small linking symbol between them",santykiai,,,,LT owner-confirmed 1.7.8,A2
140,Society,race ethnicity,N,,yes,"a ring of interlocking human hands of many different skin tones, a circle of diverse human profiles behind them, and small fictional national flags in the background",rasė,,,,LT owner-confirmed 1.7.8,A2
141,Society,sex act,N,,yes,"a closed hotel room door with a small hanging tag on the handle, a man's and a woman's shoes left together on the floor just outside it, and empty champagne bottles with two glasses beside them — the suggestion of a couple's private night together",seksas,,,,LT owner-confirmed 1.7.8,A2
142,Society,sex gender,N,,yes,"a GO-style man and woman standing side by side, the male Mars symbol floating above the man's head and the female Venus symbol above the woman's head",lytis,,,,LT owner-confirmed 1.7.8,A2
143,Society,murder,N,,yes,a stark black silhouette of one figure stabbing another figure in the back with a knife,žmogžudystė,,,,LT owner-confirmed 1.7.8,A2
144,Society,prison,N,,yes,a grim grey stone prison building with barred windows and a high perimeter wall,kalėjimas,,,,LT owner-confirmed 1.7.8,A2
145,Society,technology,N,,yes,"a calm specimen chart of period machines: a telephone, a radio, a tractor and a rocket",technologija,,,,LT owner-confirmed 1.7.8,A2
146,Society,energy,N,,yes,"a lightning bolt striking, a large battery, and humming power-line pylons",energija,,,,LT owner-confirmed 1.7.8,A2
147,Society,war,N,,yes,a deadpan civil-defence scene: soldier silhouettes and a tank on a smoky horizon with civilians fleeing carrying bundles,karas,,,,LT owner-confirmed 1.7.8,A2
148,Society,peace,N,,yes,"a fictional 1981 Soviet 'Woodstock' — a field gathering of GO-style long-haired hippies with guitars, flowers and peace banners, calm and happy",taika,,,,LT owner-confirmed 1.7.8,A2
149,Society,attack,N,,yes,a sergeant standing and gesturing his squad forward to storm a low concrete pillbox bunker,puolimas,,,,LT owner-confirmed 1.7.8,A2
150,Society,election,N,,yes,"a hand dropping a folded ballot paper into a sealed ballot box, a queue of voters waiting behind",rinkimai,,,,LT owner-confirmed 1.7.8,A2
151,Society,magazine,N,,yes,"the printed front COVER of the Lithuanian cultural magazine 'Naujoji Romuva', lying closed on a table",žurnalas,,,"the magazine masthead ""NAUJOJI ROMUVA"" written once across the top of the magazine cover.",LT owner-confirmed 1.7.8,A2
152,Society,newspaper,N,,yes,"a folded copy of the interwar Lithuanian newspaper 'Lietuvos Aidas' with its masthead and grey newsprint columns, on a table",laikraštis,,,,LT owner-confirmed 1.7.8,A2
153,Society,poison,N,,yes,"a dark glass bottle with a skull-and-crossbones poison label, set apart on a shelf",nuodai,,,,LT owner-confirmed 1.7.8,A2
154,Society,gun,N,,yes,a plain wooden-stocked hunting rifle laid flat on a table,ginklas,,,,LT owner-confirmed 1.7.8,A2
155,Society,sport,N,,yes,"a calm specimen chart of sports: football, running, boxing and swimming",sportas,,,,LT owner-confirmed 1.7.8,A2
156,Society,race sport,N,,yes,runners sprinting and breasting the finishing tape on a running track,lenktynės,,,,LT owner-confirmed 1.7.8,A2
157,Society,exercise,N,,yes,a person doing star-jump calisthenics in a plain gym,mankšta,,,,LT owner-confirmed 1.7.8,A2
158,Society,ball,N,,yes,a single football (soccer ball) resting on the grass,kamuolys,,,,LT owner-confirmed 1.7.8,A2
159,Society,game,N,,yes,children gathered around a table playing a board game with dice and counters,žaidimas,,,,LT owner-confirmed 1.7.8,A2
160,Society,price,N,,yes,"a market stall with a large hand-written price tag on the goods, a bold arrow pointing at the price",kaina,,,"the price ""5 Lt."" written once on the large hand-written price tag.",LT owner-confirmed 1.7.8,A2
161,Society,contract,N,,yes,two people shaking hands over a signed document with a pen and an official stamp on a desk,sutartis,,,,LT owner-confirmed 1.7.8,A2
162,Society,drug,N,,yes,syringes and hand-rolled marijuana cigarettes scattered on the dirty ground of a grimy back alley,narkotikas,,,,LT owner-confirmed 1.7.8,A2
163,Society,sign,N,,yes,"a triangular roadside warning sign on a post, its face blank",ženklas,žénklas,M,,promoted to picture deck (decision Q6); verb 'to sign'; ženklas=a sign(noun),A1
164,Society,science,N,,yes,"a laboratory bench with a bubbling flask, a microscope and a schematic atom diagram",mokslas,,,,LT owner-confirmed 1.7.8,A2
165,Society,God,N,,yes,"a GO-style Creation of Adam: two hands reaching across the clouds almost touching, God shown as a robed figure in the sky extending his hand from the left; a bold arrow pointing at GOD (the robed figure / his reaching hand), not at the man",Dievas,,,,LT owner-confirmed 1.7.8,A2
166,Art,band,N,,yes,"a small band performing on a stage — accordion, guitar and drum",grupė,grúpė,F,,,A1
167,Art,song,N,,yes,"a person singing with musical notes rising from their open mouth, a songbook in hand",daina,dainá,F,,,A2
168,Art,instrument,N,,yes,"a group of musical instruments — a violin, an accordion and a drum",instrumentas,instruméntas,M,,,A1
169,Art,music,N,,yes,"a small band of instruments — accordion, violin and drum — with musical notes floating above",muzika,,,,LT owner-confirmed 1.7.8,A2
170,Art,movie,N,,yes,a film projector casting its light beam onto a cinema screen before seated viewers,filmas,fílmas,M,,,A1
171,Art,art,N,,yes,"an easel holding a half-finished landscape painting, a palette and brushes beside it",menas,,,,LT owner-confirmed 1.7.8,A2
172,Beverages,coffee,N,,yes,a cup of coffee with a small coffee pot,kava,kavá,F,,,A1
173,Beverages,tea,N,,yes,a glass of tea with a teapot,arbata,arbatá,F,,,A1
174,Beverages,wine,N,,yes,a glass of red wine with its bottle,vynas,výnas,M,,,A1
175,Beverages,beer,N,,yes,a mug of beer,alus,alús,M,,,A1
176,Beverages,juice,N,,yes,a glass of juice with a jug,sultys,súltys,F pl,,,A1
177,Beverages,water,N,,yes,a clear glass and a canister of water,vanduo,vandúo,M,,,A1
178,Beverages,milk,N,,yes,a glass of milk with a milk can,pienas,piénas,M,,,A1
179,Beverages,beverage,N,categoryC,category-multi,"a row of drinks — a glass of water, a cup of tea, and a mug of beer",gėrimas,gė́rimas,M,,,A1
180,Food,egg,N,,yes,"a hen's egg, whole and one cracked open",kiaušinis,kiaušínis,M,,,A1
181,Food,cheese,N,,yes,a wheel of cheese with a cut wedge,sūris,sū́ris,M,,,A1
182,Food,bread,N,,yes,"a loaf of bread, whole with a cut slice",duona,duóna,F,,,A1
183,Food,soup,N,,yes,a bowl of soup with a spoon,sriuba,sriubá,F,,,A1
184,Food,cake,N,,yes,a layered cake with a slice cut out,tortas,tórtas,M,,,A1
185,Food,chicken,N,,yes,a cooked chicken served whole on a platter,vištiena,vištiéna,F,,vištiena=meat; the animal is višta | SPLIT? vištiena (meat) vs višta (the bird),A1
186,Food,pork,N,,yes,a raw cut of pork on a butcher's board,kiauliena,kiauliéna,F,,,A1
187,Food,beef,N,,yes,a raw cut of beef on a butcher's board,jautiena,jautiéna,F,,,A1
188,Food,apple,N,,yes,"a single apple, whole with a cutaway half",obuolys,obuolýs,M,,,A1
189,Food,banana,N,,yes,"a banana, whole and one peeled",bananas,banánas,M,,,A1
190,Food,orange (fruit),N,,yes,"an orange, whole and in segments",apelsinas,apelsínas,M,,apelsinas=fruit; oranžinė=color,A1
191,Food,lemon,N,,yes,"a lemon, whole with a cut half",citrina,citriná,F,,stress: CHECK,A1
192,Food,corn,N,,yes,ears of corn (maize) with husk,kukurūzai,kukurū́zai,M pl,,kukurūzai (plural in Lith.),A1
193,Food,rice,N,,yes,a sack and a bowl of rice grains,ryžiai,rýžiai,M pl,,,A1
194,Food,oil,N,,yes,a bottle of cooking oil pouring into a pan,aliejus,aliéjus,M,,FOOD oil only; machine oil=tepalas/alyva (separate card),A1
195,Food,oil (machine),N,,yes,an oil can lubricating machine gears,tepalas (alyva),tépalas (alyvá),M,,machine/lubricating oil; alyva also = motor oil (F),A1
196,Food,seed,N,,yes,"seeds in an open palm beside a plain seed packet, one seed sprouting",sėkla,sė́kla,F,,,A1
197,Food,knife,N,,yes,a kitchen knife,peilis,peílis,M,,,A1
198,Food,spoon,N,,yes,a soup spoon,šaukštas,šaúkštas,M,,,A1
199,Food,fork,N,,yes,a table fork,šakutė,šakútė,F,,,A1
200,Food,plate,N,,yes,a dinner plate,lėkštė,lėkštė́,F,,,A1
201,Food,cup,N,,yes,a tea cup with a saucer,puodelis,puodélis,M,,,A1
202,Food,breakfast,N,,yes,"a simple breakfast — porridge, bread and tea — with low morning sun through the window",pusryčiai,púsryčiai,M pl,,,A1
203,Food,lunch,N,,yes,"a midday canteen meal — soup, a main course and bread — with the sun high through the window",pietūs,piétūs,M pl,,,A1
204,Food,dinner,N,,yes,"an evening family meal at home, a lamp lit, the window dark",vakarienė,vakariénė,F,,,A1
205,Food,sugar,N,,yes,a bowl of sugar cubes with a paper sack,cukrus,cúkrus,M,,,A1
206,Food,salt,N,,yes,a salt cellar with a small pile of salt,druska,druská,F,,,A1
207,Food,bottle,N,,yes,an empty glass bottle,butelis,bútelis,M,,,A1
208,Food,food,N,categoryC,category-multi,"a spread of basic foods on a table — bread, cheese, apples and eggs",maistas,maístas,M,,,A1
209,Home,table,N,,yes,a plain wooden table,stalas,stálas,M,,,A1
210,Home,chair,N,,yes,a plain wooden chair,kėdė,kėdė́,F,,,A1
211,Home,bed,N,,yes,"a single bed, neatly made",lova,lóva,F,,,A1
212,Home,dream,N,,yes,a person asleep in bed with a soft thought-cloud above showing a floating dreamlike scene,sapnas,,,,LT owner-confirmed 1.7.8,A2
213,Home,window,N,,yes,a house window with frame and curtains,langas,lángas,M,,,A1
214,Home,door,N,,yes,a panel door with a handle,durys,dúrys,F pl,,,A1
215,Home,bedroom,N,,yes,a bedroom with a bed and a wardrobe,miegamasis,miegamásis,M,,,A1
216,Home,kitchen,N,,yes,a kitchen with a stove and a sink,virtuvė,virtúvė,F,,,A1
217,Home,bathroom,N,,yes,a bathroom with a bathtub and a sink,vonia,voniá,F,,,A1
218,Home,pencil,N,,yes,a wooden pencil,pieštukas,pieštúkas,M,,,A1
219,Home,pen,N,,yes,a fountain pen,rašiklis,rašíklis,M,,,A1
220,Home,photograph,N,,yes,a black-and-white family photograph print,nuotrauka,nuótrauka,F,,,A1
221,Home,soap,N,,yes,a bar of soap with lather,muilas,muílas,M,,,A1
222,Home,book,N,,yes,a closed book beside an open one,knyga,knygá,F,,,A1
223,Home,page,N,,yes,an open book with one blank page lifted mid-turn,puslapis,púslapis,M,,,A1
224,Home,key,N,,yes,a door key,raktas,ráktas,M,,,A1
225,Home,paint,N,,yes,an open paint tin with a brush,dažai,dažái,M pl,,,A1
