key	source
334_metras	azure-neural
335_centimetras	azure-neural
336_kilogramas	azure-neural
337_colis	azure-neural
338_peda	azure-neural
339_svaras	azure-neural
340_puse	azure-neural
341_apskritimas	azure-neural
342_kvadratas	azure-neural
343_temperatura	azure-neural
344_data	azure-neural
345_svoris	azure-neural
346_krastas	azure-neural
347_kampas	azure-neural
348_zemelapis	human
349_taskas	human
350_priebalsis	azure-neural
351_balsis	azure-neural
352_sviesa	azure-neural
353_garsas	azure-neural
354_taip	azure-neural
355_ne	azure-neural
356_gabalas	azure-neural
357_skausmas	azure-neural
358_suzalojimas	human
359_zaizda	human
360_skyle	human
361_vaizdas	human
362_rastas	azure-neural
363_dirbti	human
364_zaisti	human
365_groti	human
366_eiti	human
367_begti	human
368_vairuoti	human
369_skristi	human
370_plaukti	human
371_eiti	human
372_sustoti	human
373_sekti	human
374_galvoti	azure-neural
375_sakyti	human
376_valgyti	human
377_gerti	human
378_zudyti	human
379_mirti	human
380_sypsotis	human
381_juoktis	human
382_verkti	human
383_pirkti	human
384_moketi	human
385_parduoti	human
386_sauti	human
387_mokytis	azure-neural
388_sokti	human
389_uostyti	human
390_girdeti	human
391_klausytis	human
392_ragauti	human
393_liesti	human
394_matyti	human
395_ziureti	human
396_buciuoti	human
397_degti	human
398_tirpti	human
399_kasti	human
400_sprogti	human
401_sedeti	human
402_stoveti	human
403_myleti	azure-neural
404_praeiti	human
405_pjauti	human
406_mustis	human
407_guleti	human
408_sokti	human
409_miegoti	human
410_pabusti	human
411_dainuoti	human
412_skaiciuoti	human
413_tuoktis	human
414_melstis	azure-neural
415_laimeti	azure-neural
416_pralaimeti	azure-neural
417_maisyti	human
418_lenkti	human
419_plauti	human
420_gaminti	human
421_atidaryti	human
422_uzdaryti	human
423_rasyti	human
424_skambinti	human
425_sukti	human
426_statyti	human
427_mokyti	azure-neural
428_augti	human
429_piesti	human
430_maitinti	human
431_gaudyti	human
432_mesti	human
433_valyti	human
434_rasti	human
435_kristi	human
436_stumti	human
437_traukti	human
438_nesti	human
439_lauzyti	human
440_deveti	human
441_kabinti	human
442_purtyti	human
443_pasirasyti	human
444_musti	human
445_kelti	human
446_ilgas	human
447_trumpas	human
448_aukstas	human
449_zemas	human
450_platus	human
451_siauras	human
452_didelis	human
453_mazas	human
454_letas	human
455_greitas	human
456_karstas	human
457_saltas	human
458_siltas	human
459_vesus	human
460_naujas	human
461_senas	human
462_jaunas	human
463_senas	human
464_geras	azure-neural
465_blogas	azure-neural
466_slapias	human
467_sausas	human
468_sergantis	human
469_sveikas	human
470_garsus	human
471_tylus	human
472_laimingas	human
473_liudnas	human
474_grazus	human
475_bjaurus	human
476_kurcias	human
477_aklas	human
478_malonus	human
479_piktas	azure-neural
480_turtingas	human
481_neturtingas	human
482_storas	human
483_plonas	human
484_brangus	human
485_pigus	human
486_plokscias	human
487_islenktas	human
488_vyriskas	human
489_moteriskas	human
490_ankstas	human
491_laisvas	human
492_aukstas	human
493_zemas	human
494_minkstas	human
495_kietas	human
496_gilus	human
497_seklus	human
498_svarus	human
499_purvinas	human
500_stiprus	human
501_silpnas	human
502_negyvas	human
503_gyvas	human
504_sunkus	human
505_lengvas	human
506_tamsus	human
507_sviesus	human
508_branduolinis	azure-neural
509_garsus	azure-neural
510_as	azure-neural
511_tu	azure-neural
512_jis	azure-neural
513_ji	azure-neural
514_tai	azure-neural
515_mes	azure-neural
516_jus	azure-neural
517_jie	azure-neural
528_serti	azure-neural
529_lesinti	azure-neural
530_lydyti	human
A2-0001	human (queued card, image pending)
A2-0002	human (queued card, image pending)
A2-0003	human (queued card, image pending)
A2-0004	human (queued card, image pending)
A2-0005	human (queued card, image pending)
A2-0006	human (queued card, image pending)
A2-0007	human (queued card, image pending)
A2-0008	human (queued card, image pending)
A2-0009	human (queued card, image pending)
A2-0010	human (queued card, image pending)
A2-0011	human (queued card, image pending)
A2-0012	human (queued card, image pending)
A2-0013	human (queued card, image pending)
A2-0014	human (queued card, image pending)
A2-0015	human (queued card, image pending)
A2-0016	human (queued card, image pending)
A2-0017	human (queued card, image pending)
A2-0018	human (queued card, image pending)
A2-0019	human (queued card, image pending)
A2-0020	human (queued card, image pending)
A2-0021	human (queued card, image pending)
A2-0022	human (queued card, image pending)
A2-0023	human (queued card, image pending)
A2-0024	human (queued card, image pending)
A2-0025	human (queued card, image pending)
A2-0026	human (queued card, image pending)
A2-0027	human (queued card, image pending)
A2-0028	human (queued card, image pending)
A2-0029	human (queued card, image pending)
A2-0030	human (queued card, image pending)
A2-0031	human (queued card, image pending)
A2-0032	human (queued card, image pending)
A2-0033	human (queued card, image pending)
A2-0034	human (queued card, image pending)
A2-0035	human (queued card, image pending)
A2-0036	human (queued card, image pending)
A2-0037	human (queued card, image pending)
A2-0038	human (queued card, image pending)
A2-0039	human (queued card, image pending)
A2-0040	human (queued card, image pending)
A2-0041	human (queued card, image pending)
A2-0042	human (queued card, image pending)
A2-0043	human (queued card, image pending)
A2-0044	human (queued card, image pending)
A2-0045	human (queued card, image pending)
A2-0046	human (queued card, image pending)
A2-0047	human (queued card, image pending)
A2-0048	human (queued card, image pending)
A2-0049	human (queued card, image pending)
A2-0050	human (queued card, image pending)
A2-0051	human (queued card, image pending)
A2-0052	human (queued card, image pending)
A2-0053	human (queued card, image pending)
A2-0054	human (queued card, image pending)
A2-0055	human (queued card, image pending)
A2-0056	human (queued card, image pending)
A2-0057	human (queued card, image pending)
A2-0058	human (queued card, image pending)
A2-0059	human (queued card, image pending)
A2-0060	human (queued card, image pending)
A2-0061	human (queued card, image pending)
A2-0062	human (queued card, image pending)
A2-0063	human (queued card, image pending)
A2-0064	human (queued card, image pending)
A2-0065	human (queued card, image pending)
A2-0066	human (queued card, image pending)
A2-0067	human (queued card, image pending)
A2-0068	human (queued card, image pending)
A2-0069	human (queued card, image pending)
A2-0070	human (queued card, image pending)
A2-0071	human (queued card, image pending)
A2-0072	human (queued card, image pending)
A2-0073	human (queued card, image pending)
A2-0074	human (queued card, image pending)
A2-0075	human (queued card, image pending)
A2-0076	human (queued card, image pending)
A2-0077	human (queued card, image pending)
A2-0078	human (queued card, image pending)
A2-0079	human (queued card, image pending)
A2-0080	human (queued card, image pending)
A2-0084	human (queued card, image pending)
A2-0085	human (queued card, image pending)
A2-0086	human (queued card, image pending)
A2-0087	human (queued card, image pending)
A2-0089	human (queued card, image pending)
A2-0090	human (queued card, image pending)
A2-0093	human (queued card, image pending)
A2-0094	human (queued card, image pending)
A2-0095	human (queued card, image pending)
A2-0096	human (queued card, image pending)
A2-0100	human (queued card, image pending)
A2-0101	human (queued card, image pending)
A2-0102	human (queued card, image pending)
A2-0104	human (queued card, image pending)
A2-0105	human (queued card, image pending)
A2-0106	human (queued card, image pending)
A2-0107	human (queued card, image pending)
