id,category,english,LT_proposed,LT_ok_or_fix,accent,accent_FILL,type,form_derived,form_confidence,form_ok_or_fix,card_text_plan,comment
A2-0030,Time,June,birželis,,biržẽlis,,N (gen.sg),birželio,"rule — but i-stem nouns take -ies, CHECK",,"""June"" on the calendar header",
A2-0027,Time,March,kovas,,kóvas,,N (gen.sg),kovo,rule,,"""March"" on the calendar header",
A2-0029,Time,May,gegužė,,gegužė̃,,N (gen.sg),gegužės,rule,,"""May"" on the calendar header",
A2-0018,Time,Monday,pirmadienis,,pirmadiẽnis,,N (gen.sg),pirmadienio,"rule — but i-stem nouns take -ies, CHECK",,"""Monday"" on the calendar page",
A2-0035,Time,November,lapkritis,,lãpkritis,,N (gen.sg),lapkričio,rule (t→č),,"""November"" on the calendar header",
A2-0034,Time,October,spalis,,spãlis,,N (gen.sg),spalio,"rule — but i-stem nouns take -ies, CHECK",,"""October"" on the calendar header",
A2-0023,Time,Saturday,šeštadienis,,šeštãdienis,,N (gen.sg),šeštadienio,"rule — but i-stem nouns take -ies, CHECK",,"""Saturday"" on the calendar page",
A2-0033,Time,September,rugsėjis,,rugsė́jis,,N (gen.sg),rugsėjio,"rule — but i-stem nouns take -ies, CHECK",,"""September"" on the calendar header",
A2-0024,Time,Sunday,sekmadienis,,sekmãdienis,,N (gen.sg),sekmadienio,"rule — but i-stem nouns take -ies, CHECK",,"""Sunday"" on the calendar page",
A2-0021,Time,Thursday,ketvirtadienis,,ketvirtãdienis,,N (gen.sg),ketvirtadienio,"rule — but i-stem nouns take -ies, CHECK",,"""Thursday"" on the calendar page",
A2-0019,Time,Tuesday,antradienis,,antrãdienis,,N (gen.sg),antradienio,"rule — but i-stem nouns take -ies, CHECK",,"""Tuesday"" on the calendar page",
A2-0020,Time,Wednesday,trečiadienis,,trečiãdienis,,N (gen.sg),trečiadienio,"rule — but i-stem nouns take -ies, CHECK",,"""Wednesday"" on the calendar page",
A2-0011,Time,afternoon,popietė,,pópietė,,N (gen.sg),popietės,rule,,,
A2-0039,Time,autumn,ruduo,,ruduõ,,N (gen.sg),"rudenio, rudens",IRREGULAR — needs your form,,,
A2-0005,Time,day,diena,,dienà,,N (gen.sg),dienos,rule,,,
A2-0012,Time,evening,vakaras,,vãkaras,,N (gen.sg),vakaro,rule,,,
A2-0002,Time,hour,valanda,,valandà,,N (gen.sg),valandos,rule,,,
A2-0003,Time,minute,minutė,,minùtė,,N (gen.sg),minutės,rule,,,
A2-0007,Time,month,mėnuo,,mė́nuo,,N (gen.sg),mėnesio,IRREGULAR — needs your form,,,
A2-0010,Time,morning,rytas,,rýtas,,N (gen.sg),ryto,rule,,,
A2-0013,Time,night,naktis,,naktìs,,N (gen.sg),nakčio,rule (t→č),,,
A2-0017,Time,now,dabar,,dabar̃,,ADV (—),,—,,,
A2-0004,Time,second,sekundė,,sekùndė,<-- from kirtis.info,N (gen.sg),sekundės,rule,,,
A2-0037,Time,spring,pavasaris,,pavãsaris,,N (gen.sg),pavasario,"rule — but i-stem nouns take -ies, CHECK",,,
A2-0038,Time,summer,vasara,,vãsara,,N (gen.sg),vasaros,rule,,,
A2-0001,Time,time,laikas,,laĩkas,,N (gen.sg),laiko,rule,,,
A2-0014,Time,today,šiandien,,šiañdien,,ADV (—),,—,,,
A2-0016,Time,tomorrow,rytoj,,rytój,,ADV (—),,—,,,
A2-0006,Time,week,savaitė,,saváitė,,N (gen.sg),savaitės,rule,,,
A2-0009,Time,weekend,savaitgalis,,saváitgalis,,N (gen.sg),savaitgalio,"rule — but i-stem nouns take -ies, CHECK",,,
A2-0040,Time,winter,žiema,,žiemà,,N (gen.sg),žiemos,rule,,,
A2-0008,Time,year,metai,,mẽtai,,N (gen.sg),metų,plural-only: gen pl — CHECK,,,
A2-0015,Time,yesterday,vakar,,vãkar,,ADV (—),,—,,,
A2-0089,Transportation,suitcase,lagaminas,,lagamìnas,,N (gen.sg),lagamino,rule,,,
